Continent,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Total Deaths,Population,Infectous deaths,Communicable deaths,Unnatural deaths,Preventable Deaths,Genetic caused Deaths,Physicains per 1000,death per 1000
South America,1997,9217,37300,8242,21021,4026,14959,88452,5563,21919,573,19613,500150,107387,102685,8637,20867,869,34011,316,296754,2261,55224,43257,1210,19842,68425,85171,47332,90817,4559,596,1721255,303088601,202332,193115,232149,599495,500205,1.399908333,5.865636982
South America,1998,8746,39356,8664,21206,4802,14554,92219,5501,20795,589,18745,506952,107498,100830,8893,21612,753,31521,304,306652,2091,57273,45976,1162,19991,67408,89125,48109,92141,4436,562,1748466,307636674,198170,189424,235227,602049,512775,1.433863667,5.916146133
South America,1999,7885,41392,9013,21215,3917,14208,93688,5308,21067,583,17705,510843,107145,98758,9181,22153,1117,28739,301,315443,2333,59518,48521,1123,19966,66814,91754,48718,93225,4286,530,1766449,312098546,192296,184411,237002,600890,524124,1.487834,5.905559622
South America,2000,7354,43415,9299,20812,4210,13867,99411,5089,21605,592,16876,509251,106367,97054,9455,22375,516,25896,357,322409,2164,61149,50571,1077,19551,65947,92393,49103,94044,4212,518,1776939,316446488,187915,180561,240785,602928,533326,1.514225583,5.883919801
South America,2001,6966,45576,9675,20507,3567,13630,102768,4841,22561,607,16040,513356,106835,94793,9686,22749,554,23908,299,330257,2461,62702,52495,1029,19208,65927,94233,49852,95620,4355,501,1797558,320674360,185219,178253,244572,606767,543003,1.548561056,5.887228292
South America,2002,6688,48053,10213,20314,2481,13720,110078,4874,23016,634,15579,526544,109437,92699,9945,23443,531,22632,299,342817,3228,65390,55449,1026,18985,67518,97354,51278,98635,4056,479,1847395,324763658,185186,178498,254792,622457,559172,1.565499861,6.000769714
South America,2003,6425,50525,10665,19861,1919,13430,97395,4817,23918,659,14989,533529,112304,90538,10212,23512,487,21418,635,351473,1286,67292,57572,1014,18547,67884,99316,52243,100797,3960,471,1859093,328676597,186261,179836,240335,612745,570493,1.589366,6.002148088
South America,2004,6276,52932,11044,18949,1581,13247,93545,4734,23578,677,14430,537567,114077,88129,10511,23803,321,20046,385,358659,1612,68830,58996,1004,17683,68976,100549,53063,102670,3872,466,1872212,332486741,185188,178912,236902,610952,579594,1.626523806,5.991823804
South America,2005,6058,55253,11298,17853,1572,12850,89101,4702,23813,708,13795,533510,114599,85226,10749,23956,365,18738,292,362293,1713,69415,59671,987,16643,69270,99760,53154,103323,3789,455,1864911,336251870,183732,177674,231633,604381,583485,1.654725056,5.932066482
South America,2006,5698,57861,11765,16937,1401,12657,89358,4528,23815,755,13328,541272,117598,82695,10969,24385,424,17448,284,371023,687,71126,61048,952,15765,70527,101038,54191,105628,3712,457,1889332,339932548,184273,178575,231647,608015,594470,1.684416305,5.896184689
South America,2007,5651,60597,12255,16225,1143,12427,87493,4397,23975,807,12890,548828,121162,80424,11173,24832,1127,16212,406,379536,483,72860,62744,945,15083,71983,102712,55296,107936,3733,441,1915776,343513206,185871,180220,231634,612257,605672,1.707707556,5.925042118
South America,2008,5560,63306,12681,15585,594,12295,89032,4284,24263,866,12664,553985,124192,77808,11327,25173,798,15184,279,387678,516,74373,64315,926,14470,73776,103871,56359,110272,3669,424,1940525,346995235,187165,181605,234242,619724,615846,1.692102556,5.910906146
South America,2009,5514,66343,13369,15270,583,12205,90941,4779,24250,976,12815,567598,131068,75130,11412,25709,527,14339,558,400913,613,76929,67339,930,14171,76024,106966,58152,114132,3695,408,1993658,350439357,193756,188242,238860,637321,632684,1.670694222,5.98137059
South America,2010,4898,69421,14060,14993,650,11865,90514,4530,24465,1084,12566,579067,136461,72342,11499,25843,1955,13617,668,411518,529,79370,70176,916,13904,77201,110171,59383,117147,3786,390,2034989,353908348,197577,192679,240853,646896,646711,1.979349667,6.071279745
South America,2011,4459,72275,14594,14533,540,11482,89667,4327,24170,1193,12144,585443,140452,68918,11541,26078,3242,12990,350,419372,287,81602,72337,902,13469,77617,112185,60221,119292,3629,375,2059686,357405910,199457,194998,240521,651099,656761,2.144572611,6.085565997
South America,2012,4149,74986,15065,14154,562,11171,91650,4276,24365,1296,11791,589049,143972,65448,11465,26329,411,12574,521,427231,440,83158,74542,891,13112,77672,113590,60844,121070,3609,359,2079752,360884284,202048,197899,239609,658586,665888,2.235225556,6.114602964
South America,2013,3864,77815,15595,13892,487,10779,91710,4415,25345,1400,11562,596734,149041,62273,11426,26482,469,12328,271,436054,319,85129,76948,882,12879,77091,115723,61655,123277,3930,349,2110124,364317915,207391,203527,238651,666858,676866,2.319195,6.148857049
South America,2014,3721,80600,16035,13530,348,10438,91683,4311,25864,1474,11264,602483,152257,58789,11342,26516,340,11974,768,442759,388,86680,78667,838,12547,75935,117388,61988,124808,3543,340,2129618,367763915,210079,206358,236795,670569,684863,2.40655,6.15756542
South America,2015,3593,83738,16627,13404,321,10158,91272,4257,26213,1536,11134,616342,156791,55184,11326,26770,590,11833,284,453993,311,89307,81253,820,12416,74451,120755,63036,127608,3444,334,2169101,371254185,214476,210883,234366,677583,698849,2.484535,6.197861311
South America,2016,3537,87502,17320,13444,359,10009,93984,4088,26200,1606,11121,637804,162945,52237,11421,27397,887,11831,265,469314,135,93066,84732,818,12443,73925,125052,64888,131666,3481,331,2233808,374830974,220412,216875,237372,694072,719439,2.556948333,6.287223807
South America,2017,3438,91120,17739,13427,328,9771,93936,4034,26055,1639,10925,646344,163011,49796,11587,27493,1025,11732,266,477563,41,94903,86439,815,12436,72756,127294,65213,132950,3456,332,2257864,378710703,219855,216417,236212,695331,731121,2.717939167,6.335671732
South America,2018,3359,94518,18180,13712,209,9677,91999,3826,25531,1649,10732,660114,162864,47089,11989,27439,52,11727,266,487905,149,97785,88443,814,12715,72599,130476,66520,135504,3503,336,2291681,383027850,218584,215225,233848,698384,745477,2.83831,6.336483196
South America,2019,3304,97843,18715,13995,210,9588,90954,3744,24916,1680,10623,676909,164616,44900,12344,27451,149,11775,269,501074,0,100886,90912,813,12985,72416,134230,68027,138614,3510,339,2337791,387281397,219527,216223,233169,705032,763418,2.958680833,6.357366335
